Sample,oprm1-: vgat+ Cell Density (cells/mm^2),oprm1-: vgat+ Cell Count,oprm1-: vgat+ Cell Area (mm^2),oprm1-: vgat+ Cell Percentage,oprm1-: vgat+ Intensity,oprm1+: vgat- Cell Density (cells/mm^2),oprm1+: vgat- Cell Count,oprm1+: vgat- Cell Area (mm^2),oprm1+: vgat- Cell Percentage,oprm1+: vgat- Intensity,Double Positive Cell Density (cells/mm^2),Double Positive Cell Count,Double Positive Cell Area (mm^2),Double Positive Cell Percentage,Double Negative Cell Density (cells/mm^2),Double Negative Cell Count,Double Negative Cell Area (mm^2),Double Negative Cell Percentage,Total Cell Area (mm^2),Total Annotation Area (mm^2),Subcellular cluster: Channel 2: Area (vgat_Neg: oprm1_Pos),Subcellular cluster: Channel 2: Area (vgat_Pos: oprm1_Neg),Subcellular cluster: Channel 2: Area (vgat_Pos: oprm1_Pos),Subcellular cluster: Channel 2: Mean channel intensity (vgat_Neg: oprm1_Pos),Subcellular cluster: Channel 2: Mean channel intensity (vgat_Pos: oprm1_Neg),Subcellular cluster: Channel 2: Mean channel intensity (vgat_Pos: oprm1_Pos),Subcellular: Channel 2: Num spots estimated (vgat_Neg: oprm1_Pos),Subcellular: Channel 2: Num spots estimated (vgat_Pos: oprm1_Neg),Subcellular: Channel 2: Num spots estimated (vgat_Pos: oprm1_Pos),Subcellular: Channel 2: Num single spots (vgat_Neg: oprm1_Pos),Subcellular: Channel 2: Num single spots (vgat_Pos: oprm1_Neg),Subcellular: Channel 2: Num single spots (vgat_Pos: oprm1_Pos),Subcellular: Channel 2: Num clusters (vgat_Neg: oprm1_Pos),Subcellular: Channel 2: Num clusters (vgat_Pos: oprm1_Neg),Subcellular: Channel 2: Num clusters (vgat_Pos: oprm1_Pos),Total Cell Count,Subcellular cluster: Channel 2: Area (vgat_Neg: oprm1_Neg),Subcellular cluster: Channel 2: Mean channel intensity (vgat_Neg: oprm1_Neg),Subcellular: Channel 2: Num spots estimated (vgat_Neg: oprm1_Neg),Subcellular: Channel 2: Num single spots (vgat_Neg: oprm1_Neg),Subcellular: Channel 2: Num clusters (vgat_Neg: oprm1_Neg)
2024_06_25__RecognizedCode-13.czi - Scene #0.csv,2667.4370947879092,492,0.1268012969,8.804581245526128,484.79287764227644,19067.837931644466,3517,0.0195548698,62.93843951324266,103.20150874999999,802.3997764809158,148,0.0380905447,2.6485325697924123,7758.338379352638,1431,0.3886457692,25.608446671438795,0.18444671140000002,0.9780783000000001,0.0,0.0,0.0,0.0,0.0,0.0,1841.5745000000002,826.2671,3434.9725000000003,407.0,462.0,863.0,302.0,107.0,532.0,5588.0,0.0,0.0,1061.562,601.0,139.0
2024_06_25__RecognizedCode-13.czi - Scene #1.csv,2338.6819580059832,721,0.17872004430000002,6.830238726790451,461.1171288488211,24311.263904653046,7495,0.0340007429,71.00227358848048,107.84271374045802,1206.6431184164019,372,0.095572522,3.5240621447518,6383.531336138385,1968,0.513442868,18.643425539977265,0.3082933092,1.337331,0.0,0.0,0.0,0.0,0.0,0.0,3559.5193,1446.4706999999999,10134.138299999999,570.0,802.0,2198.0,588.0,200.0,1581.0,10556.0,0.0,0.0,2060.9667,1143.0,282.0
2024_06_25__RecognizedCode-13.czi - Scene #2.csv,3012.857931755475,258,0.0648872843,7.439446366782007,354.4292042635659,21066.650034445258,1804,0.0121376796,52.01845444059977,98.40825000000001,362.0100615675183,31,0.0086080151,0.8938869665513265,16056.897892107667,1375,0.37674108629999997,39.648212226066896,0.085632979,0.7010550999999999,0.0,0.0,0.0,0.0,0.0,0.0,1023.8465,355.26250000000005,648.955,274.0,227.0,173.0,164.0,40.0,113.0,3468.0,0.0,0.0,1008.7943,654.0,113.0
2024_06_25__RecognizedCode-13.czi - Scene #3.csv,2595.7904585292126,286,0.0719854205,6.598984771573605,362.8028793706294,23298.58079386185,2567,0.017319486499999998,59.229349330872175,107.64039076923078,689.7904714972733,76,0.0208734778,1.753576372865713,12752.047532285118,1405,0.36468050170000005,32.41808952468851,0.11017838479999999,0.7747094,0.0,0.0,0.0,0.0,0.0,0.0,1954.5828000000001,478.4814,1438.8090999999997,432.0,263.0,376.0,276.0,67.0,227.0,4334.0,0.0,0.0,1204.8158999999998,704.0,157.0
2024_06_25__RecognizedCode-11.czi - Scene #1.csv,1753.8152832553992,127,0.033696262799999994,4.478138222849084,515.8239299212597,28806.761266698923,2086,0.016135391,73.5543018335684,105.5649557377049,1077.146394440324,78,0.0225819015,2.7503526093088855,7526.215191922776,545,0.1481589063,19.217207334273624,0.07241355529999999,0.3973098,0.0,0.0,0.0,0.0,0.0,0.0,1300.2596,287.47029999999995,2486.7065000000002,256.0,145.0,412.0,220.0,40.0,410.0,2836.0,0.0,0.0,750.1661999999999,408.0,98.0
2024_06_25__RecognizedCode-11.czi - Scene #2.csv,2349.0432529027034,283,0.07287951310000002,7.1645569620253164,473.09057597173137,23623.240628131072,2846,0.012434494200000002,72.05063291139241,102.80255,1128.868842384338,136,0.035160573,3.4430379746835444,5685.846742891703,685,0.1803775956,17.341772151898734,0.12047458030000002,0.5127907,0.0,0.0,0.0,0.0,0.0,0.0,943.4789000000001,614.9674,3706.4791999999998,196.0,332.0,906.0,180.0,84.0,602.0,3950.0,0.0,0.0,686.7025,399.0,99.0
2024_06_25__RecognizedCode-11.czi - Scene #3.csv,2543.476583507456,532,0.1411053909,8.49976034510305,389.47917368421054,20481.679856665305,4284,0.0247043226,68.44543856846141,96.8999373493976,769.7363344825196,161,0.043352817599999996,2.5722958939127656,6129.204849730373,1282,0.3510467733,20.48250519252277,0.2091625311,0.8513356999999999,0.0,0.0,0.0,0.0,0.0,0.0,1713.1424,998.5298,3765.1413,483.0,639.0,1117.0,278.0,116.0,622.0,6259.0,0.0,0.0,1200.5229,811.0,135.0
2024_06_25__RecognizedCode-11.czi - Scene #4.csv,2332.2266716895315,387,0.10246676770000002,7.054320087495443,394.6645640826873,21574.603319505226,3580,0.0261795822,65.25701786365293,103.40368942307693,819.5938691208689,136,0.0372894936,2.4790375501275976,8334.546477898248,1383,0.3692541371,25.209624498724025,0.1659358435,0.9444796999999999,0.0,0.0,0.0,0.0,0.0,0.0,2190.9196,644.0712000000001,3169.0963,516.0,354.0,813.0,355.0,92.0,497.0,5486.0,0.0,0.0,1180.2412,696.0,153.0
2024_06_25__RecognizedCode-15.czi - Scene #1.csv,1523.8066158663905,149,0.0391668447,3.3118470771282507,713.8176677852348,39066.719950400075,3820,0.0169706076,84.90775727939543,110.41349565217392,1441.9914955514164,141,0.0416439843,3.1340297843965326,3978.26022531561,389,0.1034640729,8.646365859079795,0.0977814366,0.39524010000000004,0.0,0.0,0.0,0.0,0.0,0.0,971.9801,376.8653,6171.9203,232.0,234.0,2060.0,136.0,42.0,726.0,4499.0,0.0,0.0,472.76920000000007,249.0,65.0
2024_06_25__RecognizedCode-15.czi - Scene #2.csv,1887.3964233759543,193,0.0490935509,5.022118136872235,694.2430544041451,30716.64334623768,3141,0.0161440091,81.73302107728337,101.63949714285714,1261.5240342771922,129,0.037019707,3.356752537080406,3716.1173102739,380,0.09935235399999999,9.888108248763986,0.102257267,0.37658590000000003,0.0,0.0,0.0,0.0,0.0,0.0,543.8543,404.7582,5151.1327,90.0,254.0,1690.0,103.0,45.0,635.0,3843.0,0.0,0.0,289.1562,153.0,41.0
